City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
245,sitka,57.0531,-135.33,5.94,65,0,4.63,US,1704156042
246,northam,51.0333,-4.2167,11.88,97,100,9.09,GB,1704156042
247,brisas barra de suchiate,14.55,-92.2167,28.1,75,0,2.71,MX,1704156042
248,pacific grove,36.6177,-121.9166,15.97,79,0,4.02,US,1704156042
249,bor,56.3567,44.0669,-19.04,99,87,1.39,RU,1704156042
250,codrington,-38.2667,141.9667,18.68,87,100,5.81,AU,1704156042
251,ponferrada,42.5466,-6.5962,7.01,91,100,0.45,ES,1704156042
252,beboto,8.2668,16.939,21.96,24,75,1.93,TD,1704156043
253,puerto san jose,13.9256,-90.8244,26.0,74,5,1.57,GT,1704156043
254,undurkhaan,47.3194,110.6556,-21.68,89,8,2.25,MN,1704156043
255,bhayavadar,21.85,70.25,17.36,49,0,3.5,IN,1704156043
256,beau vallon,-20.4189,57.6953,24.56,94,75,2.57,MU,1704156043
257,acapulco de juarez,16.8634,-99.8901,28.9,54,0,4.63,MX,1704155819
258,funafuti,-8.5243,179.1942,33.0,70,40,2.57,TV,1704156044
259,thulamahashi,-24.7246,31.1994,22.28,94,12,3.73,ZA,1704156044
260,saltsjobaden,59.2833,18.3,-3.73,78,100,4.02,SE,1704156044
261,dudinka,69.4058,86.1778,-29.66,91,44,5.36,RU,1704156044
262,midvagur,62.0511,-7.1939,6.46,87,75,8.75,FO,1704156044
263,berdigestyakh,62.0989,126.6992,-30.32,100,99,1.59,RU,1704156044
264,morrinhos,-17.7311,-49.0994,19.81,97,100,2.4,BR,1704156045
265,aykhal,66.0,111.5,-27.25,98,100,2.62,RU,1704156045
266,ouro sogui,15.6,-13.3167,23.01,43,0,1.03,SN,1704156045
267,tanjung pandan,-2.75,107.65,27.54,81,100,3.33,ID,1704156045
268,chernyshevskiy,63.0128,112.4714,-17.66,97,100,2.16,RU,1704156045
269,gorontalo,0.5412,123.0595,30.2,70,98,0.12,ID,1704156045
270,copiapo,-27.3667,-70.3333,15.83,59,0,1.26,CL,1704155967
271,bliss corner,41.6118,-70.9384,2.43,76,100,3.13,US,1704156046
272,guerrero negro,27.9769,-114.0611,17.34,66,51,4.16,MX,1704156040
273,bredasdorp,-34.5322,20.0403,18.84,92,40,5.1,ZA,1704156046
274,crane,31.3974,-102.3501,9.46,44,100,4.29,US,1704156046
275,tanaina,61.6269,-149.4281,-1.23,62,0,5.66,US,1704156046
276,big bend,-26.8167,31.9333,21.01,94,100,2.18,SZ,1704156007
277,panacan,9.2463,118.4082,28.81,74,87,4.06,PH,1704156046
278,karwar,14.8,74.1333,22.88,66,91,2.62,IN,1704156004
279,east london,-33.0153,27.9116,20.08,83,100,5.31,ZA,1704156047
280,kaa-khem,51.6833,94.7333,-18.67,89,79,1.86,RU,1704156047
281,salym,60.0625,71.4789,-20.11,96,100,4.38,RU,1704156047
282,alofi,-19.0595,-169.9187,29.94,70,5,5.66,NU,1704156047
283,huaiyuan chengguanzhen,32.9589,117.1657,4.29,68,100,1.0,CN,1704156047
284,phu kradueng,16.8843,101.8847,22.69,62,41,0.51,TH,1704156048
285,tamandare,-8.7597,-35.1047,26.48,79,50,3.14,BR,1704156048
286,kiunga,-6.1219,141.2906,24.59,98,100,0.17,PG,1704156048
287,tabou,4.423,-7.3528,26.75,82,41,2.82,CI,1704156048
288,ternitz,47.7156,16.0357,4.29,75,100,2.03,AT,1704156048
289,santa cruz,-17.8,-63.1667,26.7,78,28,4.63,BO,1704156014
290,port elizabeth,-33.918,25.5701,20.61,90,0,4.63,ZA,1704156048
291,tekari,24.9333,84.8333,6.12,57,0,0.96,IN,1704156049
292,campbell river,50.0163,-125.2446,7.0,93,75,3.09,CA,1704156049
293,zilair,52.2332,57.4392,-17.69,98,100,5.17,RU,1704156049
294,novyy urengoy,66.0833,76.6333,-30.04,93,7,4.8,RU,1704156049
295,san,13.3034,-4.8956,23.69,14,100,3.74,ML,1704156049
296,klyuchi,52.2667,79.1667,-0.81,90,100,7.95,RU,1704156049
297,selfoss,63.9331,-20.9971,3.91,91,100,5.19,IS,1704156049
298,teguise,29.0605,-13.564,16.12,77,0,2.57,ES,1704156050
299,fuglafjordur,62.244,-6.814,6.26,89,10,9.7,FO,1704156050
300,concepcion,-36.827,-73.0498,17.89,77,0,4.63,CL,1704155821
301,glace bay,46.1969,-59.957,-2.34,82,100,4.12,CA,1704156050
302,loch garman,52.3342,-6.4575,11.05,100,100,7.6,IE,1704156050
303,sarakhs,36.5449,61.1577,6.71,54,100,2.78,IR,1704156050
304,whakatane,-37.9585,176.9854,23.82,59,16,3.14,NZ,1704156050
305,nadym,65.5333,72.5167,-30.22,92,13,4.32,RU,1704156051
306,los llanos de aridane,28.6585,-17.9182,18.4,84,20,2.57,ES,1704156051
